file_path,accent,emotion_ai
data/processed_chunks\Mien_Bac\Mien_Bac_MCND1_chunk0131.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_MCND1_chunk0132.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_MCND1_chunk0133.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_MCND1_chunk0134.wav,Mien_Bac,Sad
data/processed_chunks\Mien_Bac\Mien_Bac_MCND1_chunk0135.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0001.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0002.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0003.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0004.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0005.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0006.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0007.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0008.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0009.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0010.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0011.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0012.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0013.wav,Mien_Bac,Sad
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0014.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0015.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0016.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0017.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0018.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0019.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0020.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0021.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0022.wav,Mien_Bac,Sad
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0023.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0024.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang1_chunk0025.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0001.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0002.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0003.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0004.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0005.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0006.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0007.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0008.wav,Mien_Bac,Happy
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0009.wav,Mien_Bac,Neutral
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0010.wav,Mien_Bac,Sad
data/processed_chunks\Mien_Bac\Mien_Bac_NhiTang2_chunk0011.wav,Mien_Bac,Angry
